NAME,ADDRESS,ZIPCODE,CITY,PHONE
INSTITUT COMMUNAL D'ENSEIGNEMENT SECONDAIRE,"Grand-Place , 3",7390,QUAREGNON,065-777268
ATHENEE ROYAL JULES BARA,"Rue Duquesnoy , 24",7500,TOURNAI,069-890602
ATHENEE ROYAL ROBERT CAMPIN,"Rue du Château , 18",7500,TOURNAI,069-222666
INSTITUT D'ENSEIGNEMENT SECONDAIRE PROVINCIAL PARAMEDICAL,"Rue de la Lys , 1",7500,TOURNAI,069-884060
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE,"Boulevard Léopold , 92B",7500,TOURNAI,069-452870
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE VAL - ITMA,"Chaussée de Lille , 2",7500,TOURNAI,069-890250
ATHENEE ROYAL PERUWELZ,"Rue des Français , 31",7600,PERUWELZ,069-779550
ATHENEE ROYAL THOMAS EDISON MOUSCRON,"Place de la Justice , 1",7700,MOUSCRON,056-859898
INSTITUT COMMUNAL D'ENSEIGNEMENT TECHNIQUE,"Rue de France , 65",7711,DOTTIGNIES,056-854470
Centre Educatif Mitterrand Estaimpuis,"Rue de Menin , 4",7730,ESTAIMPUIS,56560731
ATHENEE ROYAL FERNAND JACQUEMIN,"Chaussée de Warneton , 26",7780,COMINES-WARNETON,056-561140
ATHENEE ROYAL ATH,"Rue des Récollets , 9",7800,ATH,068-269000
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE,"Rue Paul Pastur , 11",7800,ATH,068-264650
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE RENEE JOFFROY,"Chaussée de Valenciennes , 48",7801,IRCHONWELZ,068-265050
ATHENEE ROYAL D'ENGHIEN,"Rue Montgomery , 73",7850,ENGHIEN,02-3953849
ATHENEE ROYAL RENE MAGRITTE,"Rue François Watterman , 27",7860,LESSINES,068-334551
ATHENEE PROVINCIAL,"Rue du Rempart , 16",7900,LEUZE-EN-HAINAUT,069-672110
ATHENEE ROYAL LUCIENNE TELLIER,"Chemin du Carnois , 32A",7910,ANVAING,069-871820
INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE PARAMEDICAL,"Rue de Ninove , 169",9600,RENAIX,055-235390
